,EField,Pressure,TownsendAlpha,TownsendAlpha_err,TownsendAlphaSST,TownsendAlphaSST_err
0,1000.0,1.0,0.0,0.0,0.0,0.0
1,4500.0,1.0,0.024915747940979633,0.02550422880235738,0.0,0.0
2,8000.0,1.0,2.578972586020162,0.2666686455030577,0.0,0.0
3,11500.0,1.0,12.770461864343961,0.5609768724753773,0.0,0.0
4,15000.0,1.0,36.452506542864555,0.8963268009110119,0.0,0.0
5,18500.0,1.0,69.25034843693841,1.146158053494898,67.19618450608279,1.412701065879022
6,22000.0,1.0,116.53279699248431,1.4286929319758017,113.8711586453289,0.8381908985248282
7,25500.0,1.0,178.44474072984804,1.6982940176350478,168.7225304985084,2.2886696596745693
8,29000.0,1.0,245.12162888563793,1.9212949410682258,226.5140134758757,1.5550135173768234
9,32500.0,1.0,321.53975017618995,2.132966917892237,295.28473936396847,2.9938614799845555
10,36000.0,1.0,408.08216621229076,2.332070252522586,374.02840772581345,1.8720226326093177
11,39500.0,1.0,499.76949134189806,2.5078034460396554,450.52760150107747,1.9914957525472008
12,43000.0,1.0,591.9725929426924,2.666196121124251,530.2511505189495,2.150452580000925
13,46500.0,1.0,691.2674271398853,2.817513846569629,610.0287135414696,3.1365201887571303
14,50000.0,1.0,790.441108241009,2.9462351103355338,695.954363363948,9.02349578114442
