,EField,Pressure,TownsendAlpha,TownsendAlpha_err,TownsendAlphaSST,TownsendAlphaSST_err,Attachment,Attachment_err
0,1000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6210.526315789473,1.0,0.0,0.0,0.0,0.0,0.04258499461997093,0.014530267482606338
2,11421.052631578947,1.0,0.048429478066594235,0.013249028610030158,0.0,0.0,1.8022684337639712,0.08082372861268446
3,16631.57894736842,1.0,1.8606843171396001,0.08526301613306808,0.0,0.0,5.705104218884946,0.14929873710561858
4,21842.105263157893,1.0,11.892540157232773,0.22270122049051858,0.0,0.0,8.453733364779923,0.18776280162250683
5,27052.631578947367,1.0,33.133124558564234,0.37598325407811845,0.0,0.0,9.943602085782704,0.2059724686151749
6,32263.15789473684,1.0,62.989940005116345,0.5065376670998931,63.586264022155135,1.278867108711927,9.792733374861946,0.19972301504786474
7,37473.68421052631,1.0,106.84402603064346,0.6560020135895648,105.20148324334075,2.7661172410214765,9.410116054075022,0.19468278036032782
8,42684.21052631579,1.0,158.7680937181832,0.7944265799252888,155.47290517132691,0.614039325677959,9.617135425940127,0.19552172358722875
9,47894.73684210526,1.0,221.83958291318015,0.9309103867035153,213.51903694807302,0.7584481803569907,8.832125639401776,0.18574664371858454
10,53105.26315789473,1.0,291.46330631261,1.0597497908192448,279.55085193163325,2.1945510746580807,8.428705326576859,0.18021537146899574
11,58315.789473684206,1.0,369.3592723220481,1.1835746751739533,351.97389021412545,1.0141466655652018,7.948736924818142,0.1736281839762938
12,63526.31578947368,1.0,453.42007028095867,1.30240392350642,425.4891819525152,1.1537630286689151,7.890533921185233,0.17181003309964027
13,68736.84210526315,1.0,540.9117280251551,1.4145083608754272,510.6964755910516,1.507720098425211,7.438282030198222,0.16587412327034984
14,73947.36842105263,1.0,637.0495745443479,1.5264829631383074,593.4325170973424,7.110934186993569,6.929384653792155,0.15920352576769534
15,79157.8947368421,1.0,738.0911899701595,1.6333068593849032,680.919151623456,6.753942712953058,6.754010066464021,0.15624050248244903
16,84368.42105263157,1.0,839.5210291866055,1.7342133703022833,767.3933897620132,10.082454177439747,6.437945069409841,0.15186593697295284
17,89578.94736842104,1.0,949.565378823451,1.836133590931962,866.1587050286545,4.52221022958137,6.129791637970049,0.1475246850316978
18,94789.47368421052,1.0,1061.5047779047163,1.9321011009838214,955.6782356071119,10.194384246225612,5.762772877973384,0.14235889984630956
19,100000.0,1.0,1174.190660415641,2.023133784064159,1053.7134926791105,5.871909865784536,5.379526716472892,0.1369390548025297
