,EField,Pressure,TownsendAlpha,TownsendAlpha_err,Attachment,Attachment_err
0,100.0,750.062,0.0,0.0,0.0,0.0
1,119.3776641714437,750.062,0.0,0.0,0.0,0.0
2,142.5102670302998,750.062,0.0,0.0,0.0,0.0
3,170.1254279852589,750.062,0.0,0.0,0.0,0.0
4,203.09176209047348,750.062,0.0,0.0,0.0,0.0
5,242.44620170823282,750.062,0.0,0.0,0.0,0.0
6,289.4266124716752,750.062,0.0,0.0,0.0,0.0
7,345.5107294592218,750.062,0.0,0.0,0.0,0.0
8,412.4626382901352,750.062,0.0,0.0,0.0,0.0
9,492.3882631706742,750.062,0.0,0.0,0.0,0.0
10,587.8016072274912,750.062,0.0,0.0,0.0,0.0
11,701.7038286703829,750.062,0.0,0.0,0.0,0.0
12,837.6776400682925,750.062,0.0,0.0,0.0,0.0
13,1000.0,750.062,0.0,0.0,0.0,0.0
14,1193.776641714437,750.062,0.0,0.0,0.0,0.0
15,1425.1026703029993,750.062,0.0,0.0,0.0,0.0
16,1701.2542798525892,750.062,0.0,0.0,0.0,0.0
17,2030.9176209047348,750.062,0.0,0.0,0.0,0.0
18,2424.462017082328,750.062,0.0,0.0,0.0,0.0
19,2894.2661247167516,750.062,0.0,0.0,0.0,0.0
20,3455.1072945922183,750.062,0.0,0.0,0.0,0.0
21,4124.626382901352,750.062,0.0,0.0,0.0,0.0
22,4923.882631706741,750.062,0.0,0.0,0.0,0.0
23,5878.0160722749115,750.062,0.0,0.0,0.0,0.0
24,7017.03828670383,750.062,0.2414236907302245,0.16677333743811715,0.0,0.0
25,8376.776400682924,750.062,1.160426056427674,0.3418085029947446,0.0,0.0
26,10000.0,750.062,2.179425986173989,0.43460852094135505,0.0,0.0
27,11937.766417144358,750.062,6.453382829968651,0.6962131723984386,0.0,0.0
28,14251.026703029993,750.062,19.3588434935154,1.1242112419872443,0.0,0.0
29,17012.54279852589,750.062,38.48939194169361,1.4680838572974195,0.0,0.0
30,20309.17620904739,750.062,75.00235381454429,1.9215620930372639,0.0,0.0
31,24244.62017082331,750.062,134.5702698757054,2.3962250747122438,0.0,0.0
32,28942.661247167518,750.062,225.49752378330598,2.8911125191517044,0.0,0.0
33,34551.072945922184,750.062,356.07585645416054,3.385426828736749,0.0,0.0
34,41246.26382901348,750.062,551.5417235599303,3.930552512951469,0.0,0.0
35,49238.82631706742,750.062,791.6089199100147,4.389252545032211,0.0,0.0
36,58780.16072274912,750.062,1121.7159910266316,4.874513997117451,0.0,0.0
37,70170.38286703837,750.062,1552.321865713699,5.337618759159742,0.0,0.0
38,83767.76400682924,750.062,2081.0588723996866,5.755605404557807,0.0,0.0
39,100000.0,750.062,2735.074128444159,6.147617083205007,0.0,0.0
