,EField,Pressure,TownsendAlpha,TownsendAlpha_err,Attachment,Attachment_err
0,1000.0,750.062,0.0,0.0,0.0018072047057464558,0.0017655055275370257
1,1193.776641714437,750.062,0.0,0.0,0.004401028890036973,0.0030401915981526743
2,1425.1026703029977,750.062,0.0,0.0,0.015663017952048594,0.006246856841023543
3,1701.2542798525892,750.062,0.0,0.0,0.03606038901975908,0.010169544883095506
4,2030.9176209047348,750.062,0.0,0.0,0.07377658898628955,0.015366287852980736
5,2424.462017082328,750.062,0.0,0.0,0.17202677147616757,0.024778719292684465
6,2894.2661247167516,750.062,0.0,0.0,0.3725204433557886,0.03924303777109064
7,3455.1072945922183,750.062,0.0,0.0,0.7292706129936706,0.06109152861456504
8,4124.626382901352,750.062,0.014198203210138784,0.009807992446049504,1.3204328985429072,0.09458485381615846
9,4923.882631706741,750.062,0.046906495663199786,0.020493197198852262,2.1107923048439905,0.1374725460388258
10,5878.0160722749115,750.062,0.10681886311512329,0.03478471340763715,2.9434531169500637,0.18259673817798608
11,7017.03828670383,750.062,0.6112123126521866,0.09105831286772333,3.425631798818069,0.21557276538184683
12,8376.776400682924,750.062,1.7321343186073097,0.16208023223595142,4.211152242485661,0.252720072968294
13,10000.0,750.062,4.460902139075364,0.26720440323276384,4.511213065455913,0.2687069702973473
14,11937.766417144358,750.062,10.772522523271897,0.41928455898212197,4.326108251409191,0.265704466374665
15,14251.026703029993,750.062,23.564306983768528,0.6165737311126924,3.955557987232307,0.2526164104003856
16,17012.54279852589,750.062,46.5484979671043,0.8486933676465216,3.06432118278743,0.21775348489040436
17,20309.17620904735,750.062,83.08954915662584,1.1040026469667759,3.2430438165090734,0.21810886694004886
18,24244.62017082331,750.062,145.34006196118233,1.4120498163484683,3.018634458693333,0.20349915528572196
19,28942.661247167518,750.062,232.4198382067016,1.7159975300528725,2.4824371569941284,0.1773450996630335
20,34551.072945922184,750.062,357.511312451924,2.040794378114824,2.245965430405751,0.16175432016640315
21,41246.26382901348,750.062,532.6269791933169,2.3773325614914,1.845615967646863,0.1399423065451943
22,49238.82631706742,750.062,761.0663154101903,2.7063778280001567,1.60334880222358,0.12421990202618101
23,58780.16072274912,750.062,1058.9964331960466,3.0375503936664194,1.250689741106691,0.10438811054274513
24,70170.38286703837,750.062,1429.3060729046374,3.3490825772154147,1.151147680804982,0.09504488682391565
25,83767.76400682924,750.062,1888.2336572762704,3.64854076234467,0.849487603079446,0.07738732912619545
26,100000.0,750.062,2444.860928459027,3.9267072987835268,0.7797608758332684,0.07012650099600899
27,119377.66417144357,750.062,3110.012618413405,4.180062319025795,0.5827940254303924,0.05722149845545668
28,142510.26703029993,750.062,3870.1597216529067,4.391779174668456,0.5535215080756781,0.052522247400010366
29,170125.42798525892,750.062,4730.645779698577,4.5573116711166755,0.4094148320956133,0.04239652891832225
30,203091.7620904739,750.062,5662.445959673753,4.669127886471258,0.2702830464616932,0.03225842332837179
31,242446.20170823307,750.062,6644.254786883369,4.720407284245206,0.2565145830935748,0.02933002026071084
32,289426.61247167515,750.062,7631.287625385431,4.70338556846459,0.17920572838486548,0.02279227178487104
33,345510.7294592218,750.062,8558.407207534929,4.608932753436551,0.14563721259647372,0.01901253723338005
34,412462.6382901348,750.062,9347.594208567265,4.4360326836118205,0.09264360546457732,0.013965372881742114
35,492388.26317067415,750.062,9926.790156904495,4.187040520027951,0.07216832531811627,0.011289535065854485
36,587801.6072274912,750.062,10206.453959253655,3.8672939111432334,0.03838451175708873,0.007499766624496352
37,701703.8286703837,750.062,10085.956887841703,3.4721814902911565,0.017534456045055,0.004578149945060759
38,837677.6400682924,750.062,9487.04430370196,3.0031622474517934,0.0,0.0
39,1000000.0,750.062,8330.31455411841,2.4546738836107784,0.008336723979090334,0.0024556180270077057
