,Unnamed: 0,EField,Pressure,TownsendAlpha,TownsendAlpha_err,Attachment,Attachment_err
0,0,1000.0,750.062,0.0,0.0,0.0,0.0
1,1,1125.3355826007646,750.062,0.0,0.0,0.0,0.0
2,2,1266.3801734674037,750.062,0.0,0.0,0.0,0.0
3,3,1425.1026703029975,750.062,0.0,0.0,0.0,0.0
4,4,1603.718743751331,750.062,0.0,0.0,0.0,0.0
5,5,1804.7217668271703,750.062,0.0,0.0,0.0,0.0
6,6,2030.9176209047348,750.062,0.0,0.0,0.0,0.0
7,7,2285.463864134991,750.062,0.0,0.0,0.0,0.0
8,8,2571.9138090593437,750.062,0.0,0.0,0.0,0.0
9,9,2894.2661247167516,750.062,0.0,0.0,0.0,0.0
10,10,3257.0206556597827,750.062,0.0,0.0,0.02003760953506609,0.01957526465059515
11,11,3665.241237079626,750.062,0.0,0.0,0.021965696022520586,0.021458862751212268
12,12,4124.626382901352,750.062,0.0,0.0,0.07134417245889846,0.040240151794841694
13,13,4641.588833612777,750.062,0.07558496768574402,0.04263208147567747,0.15116993537148804,0.060290867815097876
14,14,5223.345074266843,750.062,0.1053919681395071,0.0514800846070868,0.15808795220926067,0.06304996960133465
15,15,5878.016072274912,750.062,0.2951218594289837,0.0869294173581267,0.2951218594289837,0.0869294173581267
16,16,6614.740641230146,750.062,0.6504577013705775,0.1297105115387993,0.35233125490906275,0.09546435164664452
17,17,7443.80301325169,750.062,1.44600863430452,0.1922364505792844,0.5087808157738126,0.1140290903182094
18,18,8376.776400682917,750.062,2.6835357860808777,0.2583155269049464,1.0160960743413034,0.1589513434181578
19,19,9426.684551178854,750.062,5.136274063922831,0.35217774057373924,0.9614700218180668,0.1523721804042696
20,20,10608.183551394482,750.062,8.58658296739004,0.4464725376655063,0.7297379292399468,0.13015714849770915
21,21,11937.766417144358,750.062,15.21100778642004,0.5810732023680931,0.7907863375203079,0.1324894910225822
22,22,13433.993325988988,750.062,22.704918240045558,0.6924812119120088,0.6860160481885108,0.12036914102661946
23,23,15117.75070615663,750.062,36.72724941603391,0.8589194186855176,0.8208382390976059,0.12840650025947636
24,24,17012.54279852589,750.062,52.65145105502521,0.9993810227961798,0.6757830637489078,0.11322167557741185
25,25,19144.81976169957,750.062,81.29313759253573,1.2038466690080962,0.5230257014225644,0.0965618878115623
26,26,21544.346900318822,750.062,115.68983916909728,1.3963784906119765,0.582775865147338,0.09910745425393384
27,27,24244.62017082331,750.062,158.9503798888426,1.5869159006901397,0.7304247222046031,0.10757487711698437
28,28,27283.33376486769,750.062,219.1489326862195,1.8036222994620568,0.7776754176232062,0.10744225179253852
29,29,30702.906297578502,750.062,297.11404199530847,2.034810855957398,0.5256588122582615,0.08558830622872364
30,30,34551.072945922184,750.062,389.4149227621621,2.2526408145450794,0.3959550071912871,0.07183044769644241
31,31,38881.55180308085,750.062,505.3621598317386,2.476226822622269,0.5339541322968735,0.08048983544929135
32,32,43754.7937507418,750.062,642.6021694240492,2.6994141382549897,0.4752623100540264,0.07341167136733091
33,33,49238.826317067425,750.062,807.1121165425212,2.920589787886708,0.3764980306837396,0.0630790266467043
34,34,55410.20330009492,750.062,1001.9445367671688,3.1422858157027527,0.4233583008610877,0.06459187386369282
35,35,62355.07341273912,750.062,1234.1441600722035,3.35605005713533,0.2868723931301708,0.051166989101726526
36,36,70170.38286703822,750.062,1506.2174232885125,3.5672909172325165,0.3009849916648609,0.05042746246243727
37,37,78965.22868499732,750.062,1804.0346497042751,3.7617020943473274,0.3123086794777452,0.04949416349062919
38,38,88862.38162743408,750.062,2146.042121472548,3.9437073098842697,0.2354015603217449,0.04130382035096089
39,39,100000.0,750.062,2542.6280656791787,4.124398439861022,0.2523582031293003,0.041089221116584716
