,EField,Pressure,TownsendAlpha,TownsendAlpha_err,TownsendAlphaSST,TownsendAlphaSST_err
0,1000.0,1.0,0.0,0.0,0.0,0.0
1,6210.526315789473,1.0,0.0,0.0,0.0,0.0
2,11421.052631578947,1.0,0.0,0.0,0.0,0.0
3,16631.57894736842,1.0,0.05217595417310129,0.021803842787830117,0.03233078435939373,0.019829885629547853
4,21842.105263157893,1.0,2.4988216797482385,0.1583263787625702,2.2399974171441204,0.35480783035498775
5,27052.631578947367,1.0,19.253021749216312,0.4488318355907054,20.142852618591174,0.5964202965046478
6,32263.15789473684,1.0,70.20510081523692,0.8811776242388991,0.0,0.0
7,37473.68421052631,1.0,147.23398751121513,1.236670129677844,144.82853070876965,1.3212656320356755
8,42684.21052631579,1.0,256.1194993434073,1.6069160960751845,237.3601808389134,6.342138903629929
9,47894.73684210526,1.0,384.06805452975186,1.9350508853759902,347.64643063390014,7.754035534778122
10,53105.26315789473,1.0,523.0119771715492,2.2151471482192444,463.3148259614155,2.4323907635054933
11,58315.789473684206,1.0,670.8326674589292,2.4625050906831096,590.4459665521415,1.9097183871793513
12,63526.31578947368,1.0,828.9215734971541,2.6877918100121523,719.0798890587205,2.677635321183825
13,68736.84210526315,1.0,988.6558792473546,2.886903164042106,841.822619135554,2.4926677151708496
14,73947.36842105263,1.0,1155.963223015759,3.0707565014704175,970.0668783504883,11.681610720346514
15,79157.8947368421,1.0,1321.0858945322561,3.231572090474542,1108.8590568592015,3.1364627856261973
16,84368.42105263157,1.0,1490.356999817673,3.3807746980235023,1238.2073925992518,7.761745492680968
17,89578.94736842104,1.0,1657.7981694019547,3.5156147846829118,1366.9257184635258,2.8812597147867662
18,94789.47368421052,1.0,1827.0182608399862,3.6430445004023944,1499.5187693387577,11.005385309379959
19,100000.0,1.0,1999.8068101033555,3.764378675015525,1627.8521196156905,5.549476317462926
