,EField,Pressure,TownsendAlpha,TownsendAlpha_err,Attachment,Attachment_err
0,1000.0,750.062,0.0,0.0,0.0,0.0
1,1193.776641714437,750.062,0.0,0.0,0.0,0.0
2,1425.1026703029977,750.062,0.0,0.0,0.0,0.0
3,1701.2542798525892,750.062,0.0,0.0,0.0,0.0
4,2030.9176209047348,750.062,0.0,0.0,0.0,0.0
5,2424.462017082328,750.062,0.0,0.0,0.0,0.0
6,2894.2661247167516,750.062,0.0,0.0,0.0,0.0
7,3455.1072945922183,750.062,0.0,0.0,0.0,0.0
8,4124.626382901352,750.062,0.0,0.0,0.0,0.0
9,4923.882631706741,750.062,0.2753116256430297,0.12028217746109754,0.0,0.0
10,5878.0160722749115,750.062,1.1465268807359106,0.22863375724490406,0.0,0.0
11,7017.03828670383,750.062,2.13422615931708,0.29195578399646593,0.0,0.0
12,8376.776400682924,750.062,5.258798157845671,0.4311258491673038,0.0,0.0
13,10000.0,750.062,14.238299653530268,0.6676901920640969,0.0,0.0
14,11937.766417144358,750.062,26.15636847104762,0.8512885343548189,0.0,0.0
15,14251.026703029993,750.062,49.56389360632271,1.10446118380733,0.0,0.0
16,17012.54279852589,750.062,87.48062747225315,1.3805777571784694,0.0,0.0
17,20309.17620904735,750.062,143.96528343862641,1.6723134412360086,0.0,0.0
18,24244.62017082331,750.062,218.98685468649998,1.9459804986771936,0.0,0.0
19,28942.661247167518,750.062,331.9699756135459,2.2589180334582095,0.0,0.0
20,34551.072945922184,750.062,477.7212181974069,2.55411861029034,0.0,0.0
21,41246.26382901348,750.062,670.4500710559353,2.858649641041929,0.0,0.0
22,49238.82631706742,750.062,925.7506403774942,3.1682121430404386,0.0,0.0
23,58780.16072274912,750.062,1241.4595011734446,3.4599622489059443,0.0,0.0
24,70170.38286703837,750.062,1629.2158969167526,3.7310795427092875,0.0,0.0
25,83767.76400682924,750.062,2108.708474912989,3.9971189503338214,0.0,0.0
26,100000.0,750.062,2674.9281176789377,4.23272077600929,0.0,0.0
27,119377.66417144357,750.062,3349.8066276247855,4.44768864613355,0.0,0.0
28,142510.26703029993,750.062,4114.686360889062,4.617270877195449,0.0,0.0
29,170125.42798525892,750.062,4976.827108810672,4.743558595798835,0.0,0.0
30,203091.7620904739,750.062,5911.0386009050635,4.816808378495752,0.0,0.0
31,242446.20170823307,750.062,6873.795161018571,4.8197637435815235,0.0,0.0
32,289426.61247167515,750.062,7827.6490860591775,4.754267558261034,0.0,0.0
33,345510.7294592218,750.062,8691.514052053764,4.602487664684225,0.0,0.0
34,412462.6382901348,750.062,9385.263002826663,4.372473457380255,0.0,0.0
35,492388.26317067415,750.062,9841.627556203195,4.067830407319771,0.0,0.0
36,587801.6072274912,750.062,9948.577568484658,3.6879407967401447,0.0,0.0
37,701703.8286703837,750.062,9658.547388046902,3.248277072347678,0.0,0.0
38,837677.6400682924,750.062,8890.611338805411,2.7498587894687647,0.0,0.0
39,1000000.0,750.062,7646.687114954818,2.182491510032624,0.0,0.0
