,EField,Pressure,TownsendAlpha,TownsendAlpha_err,TownsendAlphaSST,TownsendAlphaSST_err
0,1000.0,1.0,0.0,0.0,0.0,0.0
1,4500.0,1.0,0.34896688095053396,0.14582999258933554,0.0,0.0
2,8000.0,1.0,4.167084754036457,0.412362070840371,0.0,0.0
3,11500.0,1.0,21.758160901260577,0.8220768552021153,0.0,0.0
4,15000.0,1.0,56.14121843877831,1.184198878263067,56.92254890566981,3.2581706256326277
5,18500.0,1.0,105.75420059502252,1.5119819024808863,99.24200018375042,2.142205275734873
6,22000.0,1.0,168.75109957780847,1.8043411087226235,157.15639245262477,3.5388965081277335
7,25500.0,1.0,240.2794734565132,2.053547072500206,221.4280102007067,1.536328995641854
8,29000.0,1.0,313.331888665565,2.2447509887243347,290.81699883010896,7.591143827404376
9,32500.0,1.0,405.02882137923274,2.4574884660596426,364.9977247459081,5.243303085875856
10,36000.0,1.0,495.9769438242513,2.631549665616019,446.6168619416305,3.3769367257741907
11,39500.0,1.0,593.0201994681634,2.78628531518274,524.4776179090564,2.0375836727951615
12,43000.0,1.0,690.1321559303328,2.9283566078476877,610.8762040867009,3.3512185233279363
13,46500.0,1.0,798.9269776254606,3.0668262751586384,696.6521972714576,7.2645194638984245
14,50000.0,1.0,904.907868523608,3.188163141721789,773.904580190425,18.21415038004593
